Extension Number,Name,Publisher,Extension ID,Source Code,Downloads,ok,critical,high,medium,low,total vul,vulnerabilities
63,npm Intellisense,Christian Kohler,dff6b801-247e-40e9-82e8-8c9b1d19d1b8,https://github.com/ChristianKohler/NpmIntellisense.git,6792147,True,0,0,0,0,0,
64,Azure Account,Microsoft,819a23e1-b6c6-41cf-9029-e653b537d996,https://github.com/microsoft/vscode-azure-account.git,6785249,False,0,0,6,0,6,Server-side Request Forgery (SSRF); Server-side Request Forgery (SSRF); Server-side Request Forgery (SSRF); Prototype Pollution; Prototype Pollution; Prototype Pollution
65,autoDocstring - Python Docstring Generator,Nils Werner,2d6fea35-f68e-461d-9b7b-5cd05be99451,https://github.com/NilsJPWerner/autoDocstring.git,6670983,True,0,0,0,0,0,
66,Python Indent,Kevin Rose,f3cbfb84-b1e1-40ff-b70f-877253461260,https://github.com/kbrose/vsc-python-indent.git,6608444,True,0,0,0,0,0,
67,npm,Microsoft,ae9e3eb0-3357-4cc0-90ee-598d2d384757,https://github.com/Microsoft/vscode-npm-scripts.git,6533634,True,0,0,0,0,0,
68,Python Extension Pack,Don Jayamanne,f5188937-53e0-45bb-a16d-61231003fa3b,https://github.com/DonJayamanne/python-extension-pack.git,6492886,True,0,0,0,0,0,
69,indent-rainbow,oderwat,eaa2127d-cb69-4ab9-8505-a60c9ee5f28b,https://github.com/oderwat/vscode-indent-rainbow.git,6104917,False,0,0,4,0,4,Arbitrary File Write via Archive Extraction (Zip Slip); Arbitrary File Write via Archive Extraction (Zip Slip); Arbitrary File Write via Archive Extraction (Zip Slip); Arbitrary File Write via Archive Extraction (Zip Slip)
70,Git Graph,mhutchie,438221f8-1107-4ccd-a6fe-f3b7fe0856b7,https://github.com/mhutchie/vscode-git-graph.git,6098013,True,0,0,0,0,0,
71,SQL Server (mssql),Microsoft,4bf45e86-a448-4531-8c01-ef33f4536306,https://github.com/Microsoft/vscode-mssql.git,6089413,False,0,1,0,0,1,Prototype Pollution
72,Dracula Official,Dracula Theme,4e44877c-1c8d-4f9c-ba86-1372d0fbeeb1,https://github.com/dracula/visual-studio-code.git,6049515,True,0,0,0,0,0,
73,Color Highlight,Sergii N,121396ad-85a1-45ec-9fd1-d95028a847f5,https://github.com/naumovs/vscode-ext-color-highlight.git,5961869,True,0,0,0,0,0,
74,[Deprecated] Bracket Pair Colorizer 2,CoenraadS,5a6e2b21-1d61-4acd-b31b-907f9c23f18a,https://github.com/CoenraadS/Bracket-Pair-Colorizer-2.git,5878451,True,0,0,0,0,0,
75,markdownlint,David Anson,daf8b44d-8aae-4da2-80c5-1f770219f643,https://github.com/DavidAnson/vscode-markdownlint.git,5814518,True,0,0,0,0,0,
76,Spanish Language Pack for Visual Studio Code,Microsoft,47e020a1-33db-4cc0-a1b4-42f97781749a,https://github.com/Microsoft/vscode-loc.git,5755083,False,0,0,0,0,0,
77,Angular Language Service,Angular,a92d457e-6f3f-4167-8087-1a54e1b6e00e,https://github.com/angular/vscode-ng-language-service.git,5701269,True,0,0,0,0,0,
78,Better Comments,Aaron Bond,7a0110bb-231a-4598-aa1b-0769ea46d28b,https://github.com/aaron-bond/better-comments.git,5611219,True,0,0,0,0,0,
79,Vue Language Features (Volar),Vue,a5223b43-8621-4351-a14e-3d560f85f277,https://github.com/vuejs/language-tools.git,5558234,True,0,0,0,0,0,
80,Vim,vscodevim,d96e79c6-8b25-4be3-8545-0e0ecefcae03,https://github.com/VSCodeVim/Vim.git,5498862,True,0,0,0,0,0,
81,Python Environment Manager,Don Jayamanne,0c9f60fd-5588-42f7-9176-e80c3ae111ec,https://github.com/DonJayamanne/vscode-python-manager.git,5435816,False,0,0,2,0,2,Server-side Request Forgery (SSRF); Prototype Pollution
82,Python for VSCode,Thomas Haakon Townsend,19e1cdbe-42df-443e-89c0-bfecc7204b1d,https://github.com/tht13/Python-vscode.git,5313565,True,0,0,0,0,0,
83,XML Tools,Josh Johnson,0cb81da2-1880-4755-9995-0ae9cc728e20,https://github.com/DotJoshJohnson/vscode-xml.git,5156859,False,1,5,6,0,12,Open Redirect; Regular Expression Denial of Service (ReDoS); Command Injection; Prototype Pollution; Prototype Pollution; Prototype Pollution; Regular Expression Denial of Service (ReDoS); XML External Entity (XXE) Injection; Improper Input Validation; Prototype Pollution; CRITICAL! Improper Input Validation; Prototype Pollution
84,CSS Peek,Pranay Prakash,0b8f8d63-11a2-4194-969c-ca7488b3413a,https://github.com/pranaygp/vscode-css-peek.git,4889701,True,0,0,0,0,0,
85,XML,Red Hat,6703768d-d42f-474e-9f6e-5f288d53f6e8,https://github.com/redhat-developer/vscode-xml.git,4847611,True,0,0,0,0,0,
86,Atom One Dark Theme,Mahmoud Ali,9b2c953d-6ad4-46d1-b18e-7e5992d1d8a6,https://github.com/akamud/vscode-theme-onedark.git,4760465,True,0,0,0,0,0,
87,DotENV,mikestead,532533c9-a894-4a58-9eee-bbfbe7c06f71,https://github.com/mikestead/vscode-dotenv.git,4728966,True,0,0,0,0,0,
88,Markdown Preview Enhanced,Yiyi Wang,3b1db1fc-c7f7-4bd6-9fa4-b499dfa99a8a,https://github.com/shd101wyy/vscode-markdown-preview-enhanced.git,4649031,False,0,0,4,0,4,Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Server-side Request Forgery (SSRF); Prototype Pollution
89,Remote Development,Microsoft,23d72dfc-8dd1-4e30-926e-8783b4378f13,https://github.com/Microsoft/vscode-remote-release.git,4563977,False,0,0,0,0,0,
90,Russian Language Pack for Visual Studio Code,Microsoft,392df454-688b-4d61-8dba-a12956ac6448,https://github.com/Microsoft/vscode-loc.git,4451651,False,0,0,0,0,0,
91,Portuguese (Brazil) Language Pack for Visual Studio Code,Microsoft,3fd25437-acd9-42d7-ab19-581a69ce2dd9,https://github.com/Microsoft/vscode-loc.git,4437114,False,0,0,0,0,0,
